SYS.STBR-NAME,MAKE,DTL-6,DTL-CAT,TRANS-DATE,DOROTHY HILL,TRANS #,PART #,DESC,Ideal Components,TRANS-TYPE,TRANS-QTY,Central Supply,SALE,SRC-CAT,USER-ID,INV-NO,BIN1-DR,ADV-NO,CTRMN,CUST-NO,CUST-PO,PART-NO
Delta Dealer,HP,,,06/16/25,07:18,520-35359,FA2256517,THOMAS LEE,NO,PUR,4,116.92,,11,HOCPBC,494045SO,1TIR1D,,,,,HPFA2256517
Delta Dealer,HP, ,  C      P,06/16/25,08:22,520-42679,45255-TZ5-A00,"SPLASH GUARD, FR.",,ADD,0,21.11,,6,102391CSLOOP,,SPORD,,,,,HP45255-TZ5-A00
Delta Dealer,HP, ,  Z      P,06/16/25,10:48,520-42894,43263-T2F-A01,PIN,,ADD,0,5.07,,6,144626IMUNOZ,,SPORD,,,,,HP43263-T2F-A01
Delta Dealer,HP,,,06/16/25,08:43,520-45493,TINT2,TINT,,SLS,1,15.00,51.00,19,19318WSAIN,FAKE_6,TINT,130184,207325,999006,,HPTINT2
Delta Dealer,HP,,,06/16/25,09:59,520-47625,PPF,MARK GREEN,S,RV,-1,30.00,51.00,19,101255JMCMAH,FAKE_7,PPF,451708,577572,999006,,HPPPF
Delta Dealer,HP,,,06/16/25,08:47,520-47960,68315296-AA,SEAL,IO,SLS,1,18.25,24.05,6,141328DMILLE,FAKE_8,,120772,296430,389505,,HP68315296-AA
Delta Dealer,HP, ,  AY     P,06/16/25,09:16,520-58705,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,11.93,12,143825NISAAC,FAKE_9,301,141866,143825,379879,,HP15400-PLM-A02
Delta Dealer,HP, ,  C      P,06/16/25,09:40,520-63987,38809-TBC-A31,RICHARD ROBINSON,CC,PUR,1,317.03,,6,HOCPBC,U0110613,SPORD,,,,,HP38809-TBC-A31
Delta Dealer,HP, ,  BY     P,06/16/25,11:41,520-83273,42751-MIC-174,TIRE 265/30R19,CO,PUR,1,201.95,,6,HOCPBC,SM10611,SPORD,,,,,HP42751-MIC-174
Delta Dealer,HP, ,  Z      P,06/16/25,12:09,520-87591,72315-TG7-A01,"SEAL, FR.",,ADD,0,42.79,,6,144285BRIVER,,SPORD,,,,,HP72315-TG7-A01
Delta Dealer,PK,,,06/16/25,11:42,520-87604,EPS,,,SLS,1,0.00,0.00,,144285BRIVER,FAKE_10,,145747,144285,535884,,PKEPS
Delta Dealer,HP,,,06/16/25,13:06,521-11966,01553-2DR9A,CLIP,IO,PUR,15,0.74,0.00,6,141328DMILLE,FAKE_1,,112803,296430,,,HP01553-2DR9A
Delta Dealer,HP,,,06/16/25,13:30,521-13558,PPF,MARK GREEN,,SLS,1,30.00,51.00,19,101255JMCMAH,FAKE_2,PPF,451708,161529,999006,,HPPPF
Delta Dealer,HP, ,  AY     P,06/16/25,13:31,521-16766,15400-PLM-A02,"FILTER, OIL",,SLS,1,5.62,12.30,12,143825NISAAC,FAKE_3,301,136057,143825,25716,,HP15400-PLM-A02
Delta Dealer,HP, ,  C      P,06/16/25,05:57,521-17011,75722-TXM-A01,"EMBLEM, RR.",,SLS,1,22.81,25.85,6,25957CHAGLER,463569,SPORD,,206,1502,18011682,HP75722-TXM-A01
Delta Dealer,HP, ,  AY     P,06/16/25,12:12,521-31305,06160-RLV-305,"INJECTOR KIT, FUEL",,SLS,1,225.00,389.03,1,145747FUMANA,FAKE_4,121,145747,143702,596836,,HP06160-RLV-305
Delta Dealer,HP, ,  AY     P,06/16/25,08:59,521-31553,31500-SR1-100M,*31500-SR1-100MS,,SLS,1,109.16,177.07,55,144007SDAVIS,FAKE_5,RACK,571852,143702,219757,,HP31500-SR1-100M
Delta Dealer,HP, ,  C      P,06/16/25,13:36,521-32822,38809-TBC-A31,RICHARD ROBINSON,,SLS,1,317.03,604.36,6,18927THELMS,FAKE_11,SPORD,278,103226,542778,,HP38809-TBC-A31
Delta Dealer,HP, ,  BY     P,06/16/25,10:10,521-34867,73155-T20-A01,Noble Components,SP,SLS,1,4.01,5.44,6,141331JCUARE,463642,SPORD,,141331,164886,,HP73155-T20-A01
Delta Dealer,HP, ,  AY     P,06/16/25,07:44,521-34870,74115-TLA-A02,"PROTECTOR, R. FR.",,SLS,1,29.91,31.00,2,141331JCUARE,463578,502B,,141331,7407,STARNES,HP74115-TLA-A02
Delta Dealer,HP, ,  C      P,06/16/25,08:23,521-42679,72336-TG7-A11,"SEAL, R. FR.",,ADD,0,14.44,,6,102391CSLOOP,,SPORD,,,,,HP72336-TG7-A11
Delta Dealer,HP, ,+ C      P,06/16/25,10:48,521-42894,45240-SC2-003,"BOLT, FLANGE (8X22)",,ADD,0,5.96,,6,144626IMUNOZ,,SPORD,,,,,HP45240-SC2-003
Delta Dealer,HP,,,06/16/25,08:43,521-45493,PPF,MARK GREEN,,SLS,1,30.00,51.00,19,19318WSAIN,FAKE_6,PPF,130184,207325,999006,,HPPPF
Delta Dealer,HP,,,06/16/25,09:59,521-47625,PPF,MARK GREEN,S,RV,-1,30.00,50.00,19,101255JMCMAH,FAKE_12,PPF,197927,577572,999006,,HPPPF
Delta Dealer,HP,,,06/16/25,08:47,521-47960,68315296-AA,SEAL,IO,PUR,1,18.25,0.00,6,141328DMILLE,FAKE_8,,120772,296430,,,HP68315296-AA
